names,points,author,date_published,number_of_comments
Let's Encrypt: Issue with TLS-ALPN-01 Validation Method,125 points,kpetermeni,26-01-2022,48 comments
Agatha Christie could afford a maid and a nanny but not a car,307 points,exolymph,26-01-2022,242 comments
"Nature Neuroscience offers open access publishing for 11,390 USD per article",204 points,galoisscobi,26-01-2022,132 comments
Run Ordinary Rails Apps Globally,8 points,pcr910303,26-01-2022,discuss
The old internet shows signs of quietly coming back,463 points,ColinWright,26-01-2022,286 comments
"Two weeks later David Bennett is alive, his pig’s heart beating soundly",300 points,otoolep,26-01-2022,304 comments
Guide to Using YubiKey for GPG and SSH,137 points,simonpure,26-01-2022,24 comments
Surprises in the Bitcoin blockchain and how they are stored (2014),52 points,picture,26-01-2022,25 comments
The Polygons of Éric's Chahi Another World,102 points,zaiste,26-01-2022,17 comments
Julia Macros for Beginners,64 points,IlyaOrson,26-01-2022,5 comments
A trick to have arbitrary infix operators in Python,212 points,prionassembly,25-01-2022,107 comments
Pwnkit: Local Privilege Escalation in polkit's pkexec (CVE-2021-4034),202 points,todsacerdoti,25-01-2022,88 comments
Ashby (YC W19) hiring engineers who want to own product,None,None,26-01-2022,None
Positive Covid-19 antigen tests with Norwegian blood samples from 2019,12 points,tomashm,26-01-2022,9 comments
Ask HN: How do you get out of a rut?,108 points,abecedarian,26-01-2022,79 comments
Ask HN: Is the past dissapearing?,6 points,dusted,26-01-2022,discuss
Elsevier embeds a hash in the PDF metadata that is unique for each download,145 points,sohkamyung,26-01-2022,41 comments
Bitrot,35 points,avador,26-01-2022,12 comments
A Simple Guide to Architectural Rendering (2017),11 points,Tomte,26-01-2022,discuss
Why routing alogrithms from different maps don't always give the same route,23 points,afknewsagency,26-01-2022,21 comments
Scary fraud ensues when ID theft and usury collide,172 points,picture,25-01-2022,73 comments
Economists are revising their views on robots and jobs,106 points,blopeur,25-01-2022,188 comments
Tips for Text-based Interviews (2021),5 points,xept,26-01-2022,discuss
StylEx: A New Approach for Visual Explanation of Classifiers,35 points,signa11,26-01-2022,2 comments
How I write and curate the cron.weekly newsletter (2020),51 points,NicoJuicy,26-01-2022,6 comments
Rethinking Fear,35 points,YXNjaGVyZWdlbgo,26-01-2022,13 comments
Nintendo Switch game cartridges taste offensively bad (2017),404 points,tosh,25-01-2022,247 comments
The history of the end of poverty has just begun,132 points,cryoz,25-01-2022,307 comments
"In the 1800s, Jersey Island Was Covered With 12-Foot-Tall Kale",101 points,netgusto,25-01-2022,55 comments
A New Approach to Extracting Information from Large Ensembles of Sensors,55 points,rustoo,26-01-2022,3 comments
names,points,author,date_published,number_of_comments
